,acceleration_input,steering_input,acceleration_measurement,orientation_measurement,positions_x_ground_truth,positions_y_ground_truth,velocities_ground_truth,timestamps
31,0,0,0.13918736874341772,-0.0955966494607121,7.75,0.0,5.0,1.6
32,0,0,0.05122106473330647,-0.1189685936600583,8.0,0.0,5.0,1.6500000000000001
33,0,0,-0.5584908340002258,0.14158760399454326,8.25,0.0,5.0,1.7000000000000002
34,0,0,0.18902375264535473,-0.15785419225684708,8.5,0.0,5.0,1.75
35,0,0,0.09814795284938928,0.01106072079735549,8.75,0.0,5.0,1.8
36,0,0,0.13691375635794903,0.22290365136144608,9.0,0.0,5.0,1.85
37,0,0,0.008580156306442675,-0.04613141768486393,9.25,0.0,5.0,1.9000000000000001
38,0,0,0.17054105373357792,0.02853799331387484,9.5,0.0,5.0,1.9500000000000002
39,0,0,0.11321759793639441,0.22761199858682943,9.75,0.0,5.0,2.0
40,0,0,-0.24755083120127522,0.06665276679992327,10.0,0.0,5.0,2.0500000000000003
41,0,0,-0.3665725246265602,0.2992091684732555,10.25,0.0,5.0,2.1
42,0,0,0.1535256271188505,0.24401774260278689,10.5,0.0,5.0,2.15
43,0,0,0.4124623184407929,-0.0186877024298122,10.75,0.0,5.0,2.2
44,0,0,-0.2334273395010644,0.04445260309585647,11.0,0.0,5.0,2.25
45,0,0,0.0186161696476617,0.24657036716941977,11.25,0.0,5.0,2.3000000000000003
46,0,0,0.23930281294833186,-0.10154200372870177,11.5,0.0,5.0,2.35
47,0,0,-0.025676683089708715,0.005997409375876155,11.75,0.0,5.0,2.4000000000000004
48,0,0,-0.11919458985168695,0.02914954766482232,12.0,0.0,5.0,2.45
49,0,0,0.04980213757759958,-0.02291555522049589,12.25,0.0,5.0,2.5
50,0,0,0.074853573863247,-0.12388526713494159,12.5,0.0,5.0,2.5500000000000003
51,0,0,-0.4666098021477022,0.06816926356847222,12.75,0.0,5.0,2.6
52,0,0,0.34591910444925866,0.17738784540155206,13.0,0.0,5.0,2.6500000000000004
53,0,0,-0.2427862251997727,-0.31122586793073354,13.25,0.0,5.0,2.7
54,0,0,0.11114754686701933,0.11319183560896429,13.5,0.0,5.0,2.75
55,0,0,-0.039066419559239035,-0.33390083094326173,13.75,0.0,5.0,2.8000000000000003
56,0,0,0.053735618188099826,-0.27729395304311816,14.0,0.0,5.0,2.85
57,0,0,-0.3017938276952919,-0.009614877413895141,14.25,0.0,5.0,2.9000000000000004
58,0,0,0.16991213955507514,-0.274669906825633,14.5,0.0,5.0,2.95
59,0,0,-0.020480312002557004,-0.2624742419988907,14.75,0.0,5.0,3.0
60,0,0,-0.21175631578478696,0.25041323736733867,15.0,0.0,5.0,3.0500000000000003
61,0,0,0.19846539547224287,0.03035921989806031,15.25,0.0,5.0,3.1
62,0,0,-0.218075753641139,-0.021623374707257777,15.5,0.0,5.0,3.1500000000000004
63,0,0,-0.18978780054161273,-0.11734393615648855,15.75,0.0,5.0,3.2
64,0,0,-0.10786740491260734,-0.12370017582483038,16.0,0.0,5.0,3.25
65,0,0,0.2360232511561714,0.46957525069590045,16.25,0.0,5.0,3.3000000000000003
66,0,0,-0.33081603324633374,-0.20234821380026077,16.5,0.0,5.0,3.35
67,0,0,-0.21094716408343095,0.05099036023444114,16.75,0.0,5.0,3.4000000000000004
68,0,0,-0.41983250483630175,0.08972156042004453,17.0,0.0,5.0,3.45
69,0,0,-0.10149516303636628,-0.011871178735040002,17.25,0.0,5.0,3.5
70,0,0,0.06867047321504904,-0.1827254514430578,17.5,0.0,5.0,3.5500000000000003
71,0,0,-0.005906775108955813,-0.27516181817621843,17.75,0.0,5.0,3.6
72,0,0,0.07793394684291856,-0.0806178936444272,18.0,0.0,5.0,3.6500000000000004
73,0,0,0.0308976283395104,0.2229319551536941,18.25,0.0,5.0,3.7
74,0,0,0.09712326191779626,-0.1770950747319559,18.5,0.0,5.0,3.75
75,0,0,-0.07648633581400854,-0.19853390615492628,18.75,0.0,5.0,3.8000000000000003
76,0,0,-0.1300718299591804,-0.20808285037938323,19.0,0.0,5.0,3.85
77,0,0,-0.4824682746211603,-0.07871390636733995,19.25,0.0,5.0,3.9000000000000004
78,0,0,0.07415883183963022,-0.04081074631804609,19.5,0.0,5.0,3.95
79,0,0,0.06992705304149734,0.28747308883345235,19.75,0.0,5.0,4.0
80,0,0,-0.3590942148406673,0.5941126837141003,20.0,0.0,5.0,4.05
81,0,0,0.16170408779948242,0.20585065540408323,20.25,0.0,5.0,4.1000000000000005
82,0,0,0.22920902313178956,-0.23116268658184136,20.5,0.0,5.0,4.15
83,0,0,-0.5055224021220787,0.019682330844951114,20.75,0.0,5.0,4.2
84,0,0,-0.12400389482072366,0.05388094167807479,21.0,0.0,5.0,4.25
85,0,0,0.20256248339548566,-0.212510685018595,21.25,0.0,5.0,4.3
86,0,0,-0.08253945463147525,-0.023806838746321928,21.5,0.0,5.0,4.3500000000000005
